bucket,n,pred_mean,actual_freq,se,z,prob_source
"[0.0, 0.01)",265604,0.0036445733399998147,0.0035616933479917473,0.00011692656371532508,-0.7088208989862297,q_model
"[0.01, 0.025)",94863,0.016067899778780242,0.01631826950444325,0.0004082382506869797,0.6132931572229922,q_model
"[0.025, 0.05)",49702,0.035189879878515434,0.036095126956661706,0.000826500051159733,1.0952777037049695,q_model
"[0.05, 0.075)",19482,0.06107414575289221,0.06056873010984499,0.0017156455971084664,-0.2945921021795205,q_model
"[0.075, 0.1)",9926,0.086271891221473,0.08160386862784606,0.002818097511652977,-1.656444666774099,q_model
"[0.1, 0.125)",5553,0.11141574077712509,0.11543309922564379,0.004222393916717881,0.9514409426871876,q_model
"[0.125, 0.15)",3336,0.13659338284152092,0.12589928057553956,0.005945789035596918,-1.7986010270389188,q_model
"[0.15, 0.175)",2139,0.16140046811078387,0.16175783076203834,0.007954709250126347,0.04492466537966688,q_model
"[0.175, 0.2)",1403,0.18643364964335318,0.19957234497505347,0.01039752094761207,1.263637303343713,q_model
"[0.2, 0.25)",1462,0.22190218528348613,0.22571819425444598,0.010867363678969458,0.35114394656218206,q_model
"[0.25, 0.3)",545,0.2718645167542709,0.27155963302752295,0.01905829787658724,-0.015997426880525207,q_model
"[0.3, 0.4)",336,0.334565007641033,0.38392857142857145,0.02574088276546094,1.9177106021311126,q_model
"[0.4, 0.5)",67,0.43744581643752184,0.43283582089552236,0.06060478456542329,-0.07606652799867568,q_model
"[0.5, 1.01)",14,0.6968326513586047,0.42857142857142855,0.12284046197031973,-2.183818087984662,q_model
"[0.0, 0.01)",267862,0.0035983614640987256,0.0033524725418312413,0.00011569485776392556,-2.1253228278236764,q_market
"[0.01, 0.025)",92122,0.016016681361080986,0.015978810707540002,0.00041361707284294177,-0.09155969622019036,q_market
"[0.025, 0.05)",48871,0.03530315524084791,0.035297006404616235,0.0008347887303031437,-0.0073657393882626985,q_market
"[0.05, 0.075)",19638,0.06064026440977859,0.061513392402484976,0.0017031303401680428,0.5126607001905883,q_market
"[0.075, 0.1)",11058,0.08659920134246817,0.08410200759631037,0.0026745415184653296,-0.9336904022303995,q_market
"[0.1, 0.125)",5973,0.11099573163903877,0.11568725933366818,0.004064515694157396,1.1542648737642527,q_market
"[0.125, 0.15)",3446,0.13637243259175533,0.1453859547301219,0.005846135883228009,1.5417914188798583,q_market
"[0.15, 0.175)",2029,0.16203177151378872,0.15672745194677182,0.00818036803329314,-0.6484206511771778,q_market
"[0.175, 0.2)",1038,0.18708934212716696,0.19171483622350674,0.012104511181129754,0.382129771877997,q_market
"[0.2, 0.25)",1206,0.21976027916258412,0.23466003316749584,0.011923807965807125,1.2495801716732158,q_market
"[0.25, 0.3)",614,0.2694875876125172,0.2931596091205212,0.017906017210357728,1.322014897556948,q_market
"[0.3, 0.4)",438,0.3357072022351702,0.3378995433789954,0.02256436135152719,0.09715945909884283,q_market
"[0.4, 0.5)",128,0.43500473549334007,0.3671875,0.04381919667006949,-1.5476604010785604,q_market
"[0.5, 1.01)",9,0.5315838834868203,0.7777777777777778,0.16633382040806804,1.4801192787309767,q_market
