explosion_depth,n_choice_sets_full,n_rows_exploded,in_sample_pseudo_r2,holdout_pseudo_r2,bc_published_pseudo_r2,converged,optimizer_message,iterations,ll_model,ll_null,beta_AVESPRAT,beta_LSPEDRAT,beta_LIFE_PCT_WIN,beta_W_PER_RACE,beta_JOCK_PCT_WIN,beta_JOCK_NUM_WIN,beta_WEIGHT,beta_POSTPOS,beta_NEWDIST
1,5936,63264,0.1405318488695808,0.10600804306519929,0.091,True,Optimization terminated successfully.,21,-11969.285913966709,-13926.386798887255,0.4064369021149527,0.1979309226615733,0.3070383148686456,0.154943907593957,0.2177833658643477,0.0719896801475849,0.1917422027021977,-0.0635291198073671,-0.1861646796219042
2,11858,120578,0.1133400524628855,0.0889632054002445,0.064,True,Optimization terminated successfully.,15,-24147.63475393813,-27234.380915720056,0.3663803695227842,0.1702288373449058,0.2703278791351005,0.1372242918653003,0.2116569367602228,0.0534040458153683,0.1819245611924542,-0.0507312127608747,-0.1738789112320153
3,17774,171964,0.0926956834373049,0.07633867051019594,0.055,True,Optimization terminated successfully.,15,-36163.121853410325,-39857.76458158341,0.3545108823890061,0.1484741284654463,0.2218768401709693,0.1355409240903083,0.1968795491400819,0.0475619316871144,0.1596924628445455,-0.0436408803997653,-0.1729724789794838
