train_r2,test_r2,test_logloss,test_logloss_per_set,n_train_sets,n_test_sets,converged,pool,test_year,config,lambda
0.1724416520788299,0.17316611198513798,436.53469108906677,1.8735394467341921,2771,233,True,dev,2016,baseline9,0.0
0.17345745862882944,0.17769337522275197,434.14448008349757,1.863281030401277,2771,233,True,dev,2016,baseline9+Trainer,0.0
0.1791480992753568,0.18407068391448633,430.7775202623299,1.8488305590657936,2771,233,True,dev,2016,baseline9+CareerStarts,0.0
0.17806605790030938,0.18429903979933926,430.6569576353046,1.848313122898303,2771,233,True,dev,2016,baseline9+Recency,0.0
0.17246845866401872,0.17450463086564938,435.82800751635574,1.8705064700272778,2771,233,True,dev,2016,baseline9+Rating,0.0
0.18362167524140705,0.17045098992962737,396.69122409147917,1.7025374424527002,2348,233,True,dev,2016,baseline9+DistResidual,0.0
0.19367812879255752,0.1938913670498299,385.48201067539634,1.6544292303665078,2348,233,True,dev,2016,full_model,0.0
0.19364159117430235,0.19292994191126256,385.94176520522,1.6564024257734764,2348,233,True,dev,2016,full_minus_Trainer,0.0
0.18958368960247252,0.18634494523122125,389.09071766243807,1.6699172431864295,2348,233,True,dev,2016,full_minus_CareerStarts,0.0
0.18734445564822388,0.1803123863460011,391.97549377515855,1.682298256545745,2348,233,True,dev,2016,full_minus_Recency,0.0
0.19350298174851577,0.19138555862140538,386.6802909466562,1.659572064148739,2348,233,True,dev,2016,full_minus_Rating,0.0
0.18643391498052897,0.2025770130120189,421.0069305793406,1.8068966977654102,2771,233,True,dev,2016,full_minus_DistResidual,0.0
0.1725762140780267,0.1419667226706205,741.7104783211412,1.9938453718310247,3004,372,True,dev,2017,baseline9,0.0
0.17387053188800983,0.14279850653715676,740.9914586446216,1.9919125232382302,3004,372,True,dev,2017,baseline9+Trainer,0.0
0.17958507067400153,0.1572163633998832,728.528217657858,1.9584091872523066,3004,372,True,dev,2017,baseline9+CareerStarts,0.0
0.17862874154901132,0.14404160085309337,739.9168895060662,1.9890238965216835,3004,372,True,dev,2017,baseline9+Recency,0.0
0.17274080280212645,0.14324015670521884,740.6096825922714,1.9908862435276113,3004,372,True,dev,2017,baseline9+Rating,0.0
0.1826092203625438,0.1506502354870617,663.202231800198,1.8021799777179293,2581,368,True,dev,2017,baseline9+DistResidual,0.0
0.19384887133599293,0.1680283358340222,649.6327985512688,1.765306517802361,2581,368,True,dev,2017,full_model,0.0
0.19370470832934739,0.1682158740361498,649.4863621131894,1.7649085926988843,2581,368,True,dev,2017,full_minus_Trainer,0.0
0.18946829502293894,0.15161788549584265,662.4466565681344,1.800126784152539,2581,368,True,dev,2017,full_minus_CareerStarts,0.0
0.1868923577665308,0.1669629455061078,650.464692869408,1.7675671001886089,2581,368,True,dev,2017,full_minus_Recency,0.0
