explosion_depth,common_choice_sets,old_zscore_common_r2,new_track_record_common_r2,absolute_change_new_minus_old,percent_change_vs_old
1,5911,0.15532001808934293,0.1408928044360872,-0.014427213653255722,-9.288702017119855
2,11810,0.12556002799562083,0.11230892076103438,-0.013251107234586446,-10.55360328133138
3,17676,0.10390782532780307,0.09125072804161627,-0.012657097286186803,-12.181081883156386
