tau,n_bets,n_races_touched,hit_rate,staked,returned,roi,year
0.0,10070,696,0.010724925521350546,10070.0,8734.199999999999,-0.13265143992055622,2021
0.0,15962,1645,0.009084074677358727,15962.0,10791.300000000001,-0.3239381029946121,2022
0.0,17380,1733,0.008400460299194477,17380.0,13065.8,-0.24822784810126586,2023
0.0,17195,1759,0.009072404768828148,17195.0,12466.2,-0.27501017737714445,2024
0.0,17333,1729,0.007788611319448451,17333.0,11875.400000000001,-0.3148675936075693,2025
0.0,9743,966,0.00780047213383968,9743.0,5716.400000000001,-0.41328133018577434,2026
