explosion_depth,old_zscore_in_sample_pseudo_r2,new_track_record_in_sample_pseudo_r2,bc_published_pseudo_r2,old_choice_sets,new_choice_sets,bc_published_choice_sets,absolute_change_new_minus_old,percent_change_vs_old,old_zscore_holdout_pseudo_r2,new_track_record_holdout_pseudo_r2,new_minus_bc_published,new_as_multiple_of_bc
1,0.1549162434254721,0.1405318488695808,0.091,5940,5936,200,-0.0143843945558913,-9.28527198815754,0.1149095127641707,0.1060080430651992,0.0495318488695808,1.544306031533855
2,0.1248457836832812,0.1133400524628855,0.064,11858,11858,400,-0.0115057312203956,-9.21595498137474,0.0977767645260287,0.0889632054002445,0.0493400524628855,1.770938319732586
3,0.1033807679113666,0.0926956834373049,0.055,17763,17774,600,-0.0106850844740617,-10.335659803980713,0.0828347247725965,0.0763386705101959,0.0376956834373049,1.6853760624964529
