test_year,lambda,test_r2,test_logloss_per_set,n_sets,converged
2021,0.0,0.20456311929725557,1.748877152930618,207,True
2021,1.0,0.2045461085000313,1.748914553502983,207,True
2021,5.0,0.20447729637240875,1.749065846409766,207,True
2021,20.0,0.20420960597598437,1.7496544004858,207,False
2021,50.0,0.20364054763364003,1.7509055533525508,207,True
2021,100.0,0.202636847575567,1.753112325684264,207,True
2022,0.0,0.10292518827773545,1.9580722538405475,292,True
2022,1.0,0.10297024728010096,1.9579739021967772,292,True
2022,5.0,0.10314690812346994,1.9575882992445812,292,True
2022,20.0,0.10376205531172922,1.956245598919459,292,True
2022,50.0,0.10480314842344718,1.9539731735775794,292,True
2022,100.0,0.1061222958624638,1.9510938306673664,292,True
2023,0.0,0.0739650840019711,2.0030037904540086,265,True
2023,1.0,0.07398061785994592,2.0029701908824733,265,True
2023,5.0,0.07404181746056693,2.002837816789553,265,True
2023,20.0,0.07425900083144665,2.0023680514409894,265,True
2023,50.0,0.07464475969765505,2.0015336590677992,265,True
2023,100.0,0.07518264082567472,2.0003702278411524,265,True
