odds_level,tight_comps_n,tier
6.3,3,C
8.0,8,C
10.3,31,A
13.1,64,A
16.7,106,S
21.4,166,S
27.3,207,S
34.8,211,S
44.5,179,S
56.8,160,S
72.5,92,A
92.6,37,A
118.2,16,B
150.9,12,B
192.7,3,C
