bucket,n,pred_mean,actual_freq,se,z
"[0.15, 0.175)",23,0.16666666666666657,0.391304347826087,0.07770873402002614,2.8907649055449745
"[0.175, 0.2)",19,0.1894103493960329,0.3157894736842105,0.08989293893518868,1.4058848869019052
"[0.2, 0.25)",11,0.23139364721597744,0.45454545454545453,0.1271543897801785,1.7549673881905032
"[0.25, 0.3)",14,0.2876179661145772,0.5,0.12097634706323236,1.75556659662086
"[0.3, 0.4)",432,0.36878092071421564,0.3333333333333333,0.02321306072097403,-1.5270535758713568
"[0.4, 0.5)",1634,0.456818233153507,0.4241126070991432,0.012323051982624756,-2.6540199700916642
"[0.5, 1.01)",6495,0.6671620026432776,0.5970746728252502,0.005847126964994961,-11.986626977252213
