fund_decile,n,mean_fund_p_rank,mean_odds,actual_place_rate,implied_place_rate,ratio,ci_lo,ci_hi,ci_excludes_1
0,2238,0.4110596997828901,8.011438784629133,0.3717605004468275,0.4018186416512124,0.9251947568164943,0.875364836766277,0.9750246768667117,True
1,1599,0.6076920569181357,7.51038148843027,0.4271419637273296,0.4245135416974924,1.0061916093873637,0.9490766442673538,1.0633065745073738,False
2,2055,0.7021334626444116,7.039318734793187,0.4559610705596107,0.43654395222706127,1.0444791829860236,0.9951503259022935,1.0938080400697536,False
3,1991,0.7773615580245417,6.403566047212456,0.4937217478653943,0.5020201127998665,0.9834700548386587,0.9397243831415422,1.0272157265357753,False
4,1816,0.8258757464085108,6.111618942731278,0.4873348017621145,0.4642754383141181,1.0496674205547678,1.0001505633869572,1.0991842777225784,True
5,2136,0.8908928942987933,5.138951310861423,0.5374531835205992,0.5740508311879838,0.9362466776824507,0.8994123060899202,0.9730810492749813,True
6,1938,0.9110180754917594,5.029256965944273,0.4984520123839009,0.5222977344825158,0.9543445806399278,0.9117230574871635,0.996966103792692,True
7,5302,0.9992625545270772,3.6102036967182203,0.6158053564692569,0.6642493201072974,0.9270696074928383,0.9073588881110821,0.9467803268745945,True
